xml:id,wikidata,name_alias,forename,surname,birth_date,birth_place,death_date,death_place,type,role,commentaire,validation,compte,birth_place_qid,death_place_qid
DavideGhirlandaio,http://www.wikidata.org/entity/Q1145811,,Davide,Ghirlandaio,1452-03-14,Florence,1525-08-10,Florence,"artiste,peintre",peintre italien,,4,2,Q2044,Q2044
TigraneLeGrand,https://www.wikidata.org/wiki/Q201303,Tigrane d'Arménie,,Tigrane II,-140,Artaxata,-55,Q208404,personnage politique,roi d'Arménie,,4,2,Q706215,Q208404
AgostinoDisserolio,,,Agostino,Disserolio,,,,,,,,2,2,,
Dioscoride,https://www.wikidata.org/wiki/Q297776,,,Dioscoride,40,Q219525,90,,"auteur(e) de textes,médecin","médecin, pharmacologue et botaniste grec",,4,2,Q219525,
Abiron,https://www.wikidata.org/wiki/Q114008399,,,Abiron,,,,,personnage biblique,premier-né de Hiel de Béthel,,4,2,,
Diocletien,https://www.wikidata.org/wiki/Q43107,,,Diocletien,240,Q252273,0316-12-03,Q1663,personnage politique,empereur romain de 284 à 305,,4,2,Q252273,Q1663
ErnestDAutriche,https://www.wikidata.org/wiki/Q327156,,Ernest d',Autriche,1553-06-15,Vienne,1595-02-12,Q9005,personnage politique,archiduc autrichien (1553-1595),,4,2,Q1741,Q9005
Ariane,https://www.wikidata.org/wiki/Q184874,,,Ariane,,,,,personnage mythologique,personnage de la mythologie grecque,,4,2,,
MarieDAutriche,https://www.wikidata.org/wiki/Q157077,Marie de Hongrie,Marie d',Autriche,1505-09-15,Q9005,1558-10-18,Q1769167,personnage politique,gouvernante des Pays-Bas espagnols et reine consort de Hongrie et de Bohême (1505-1558),,4,2,Q9005,Q1769167
Arellius,https://www.wikidata.org/wiki/Q4788796,,,Arellius,,,,,"artiste,peintre",peintre romain,,4,2,,
CiprianoAlberti,https://www.wikidata.org/wiki/Q88174978,Giovanni di Cipriano Alberti,Cipriano,Alberti,1335,,1413,,"personnage politique,militaire",officier italien et Consul de la Monnaie de Florence,,4,2,,
ScipioneDelfinone,https://www.wikidata.org/wiki/Q3952399,,Scipione,Delfinone,,Milan,1590-08-31,Milan,artiste,artiste italien et brodeur de la célèbre école milanaise du XVIe siècle,,4,2,Q490,Q490
ArchelaosI,https://www.wikidata.org/wiki/Q26846,,,Archélaos Ier,-500,Macedoine,-399,Macedoine,personnage politique,roi de Macédoine de la dynastie des Argéades,,4,2,Q83958,Q83958
GiovanniAlberti,http://www.wikidata.org/entity/Q3106983,,Giovanni,Alberti,1558-10-19,Sansepolcro,1601-08-10,Rome,"artiste,peintre",peintre italien,,4,2,Q52098,Q220
LippoDalmasio,http://www.wikidata.org/entity/Q2009694,,Lippo,Dalmasio,1352,Bologne,1410,Bologne,"artiste,peintre",peintre italien,,4,2,Q1891,Q1891
Archifrone,,,,Archifrone,,,,,,,,2,2,,
LorenzoAlberti,,Lorenzo degli Alberti,Lorenzo,Alberti,,,,,,,,2,2,,
ThomasAquin,https://www.wikidata.org/wiki/Q9438,,Thomas d',Aquin,1225,Q106766784,1274-03-07,Q1775258,"personnage du clergé,auteur(e) de textes,philosophe","religieux de l’ordre dominicain, théologien, philosophe, docteur de l'Église (1225-1274)",,4,2,Q106766784,Q1775258
Alcinoos,https://www.wikidata.org/wiki/Q936686,Alcinoos le Philosophe,,Alcinoos,,,,,philosophe,philosophe antique,,4,2,,
AnselmedeCantorbery,https://www.wikidata.org/wiki/Q43939,Saint Anselme,Anselme de,Cantorbery,1033,Q3367,1109-04-21,Q29303,"saint(e),personnage du clergé","abbé bénédictin, archevêque de Cantorbéry, saint et docteur de l'Église",,4,2,Q3367,Q29303
SaintJacquesMineur,https://www.wikidata.org/wiki/Q44047,,Jacques d',Alphée,,,,,"saint(e),personnage biblique","apôtre du Christ, fils d'Alphée",,4,2,,
CleantheDeCorinthe,https://www.wikidata.org/wiki/Q43315,,Cléanthe de,Corinthe,-0700-00-00,,-700,,"artiste,peintre",peintre antique,,4,2,,
Anacreon,https://www.wikidata.org/wiki/Q213484,,,Anacréon,-570,Q17586,-485,Q17586,auteur(e) de textes,poète lyrique grec de l'Antiquité,,4,2,Q17586,Q17586
MargueritedeNavarre,https://www.wikidata.org/wiki/Q190058,Marguerite de Valois-Angoulême,Marguerite,"Angouleme, de",1492-04-11,test,1549-12-21,Q191085,personnage politique,"sœur aînée du roi François Ier, femme de lettres, diplomate, protectrice d’écrivains et d’artistes, reine de Navarre (1492-1549)",,4,2,Q134346,Q191085
Idomenee,https://www.wikidata.org/wiki/Q648287,,Idoménée de,Lampsaque,-400,,,,philosophe,philosophe grec,,4,2,,
LudovicoDolce,https://www.wikidata.org/wiki/Q1867806,Lodovico,Ludovico,Dolce,1508,Venise,1568,Venise,auteur(e) de textes,"auteur polygraphe, grammairien et théoricien de la peinture italien",,4,2,Q641,Q641
ArtaxiasI,https://www.wikidata.org/wiki/Q319478,,,Artaxias Ier,,,-160,,personnage politique,roi d'Arménie,,4,2,,
SainteBarbe,https://www.wikidata.org/wiki/Q192816,,Barbe d',Héliopolis,273,Q209349,306,Q209349,saint(e),martyre chrétienne,,4,2,Q209349,Q209349
BattistaDossi,http://www.wikidata.org/entity/Q2706669,,Battista,Dossi,1490,Q42354,1548,Ferrare,"artiste,peintre",peintre italien,,4,2,Q42354,Q13362
Porfirius,https://www.wikidata.org/wiki/Q203445,Porphyre de Tyr,,Porphyrius,233,Tyr,301,Rome,philosophe,"philosophe néoplatonicien, disciple de Plotin",,4,2,Q82070,Q220
CornelisVanHaarlem,http://www.wikidata.org/entity/Q442484,,Cornelis van,Haarlem,1562,Haarlem,1638-11-11,Haarlem,"artiste,peintre",peintre néerlandais,,4,2,Q9920,Q9920
Euchir,,,,Euchir,,,,,,,,2,2,,
CharlesDEscoubleau,https://www.wikidata.org/wiki/Q55772534,,Charles d',Escoubleau,1588,,1666-12-21,,"personnage politique,militaire",noble et militaire français promu lieutenant-général des armées du Roi,,4,2,,
Eschyle,https://www.wikidata.org/wiki/Q40939,,,Eschyle,-525,EleusiGrece,-456,Q39971,auteur(e) de textes,tragique grec,,4,2,Q204905,Q39971
AgostinoSteuco,https://www.wikidata.org/wiki/Q395722,,Agostino,Steuco,1497,Gubbio,1548-03-15,Venise,philosophe,philologue et philosophe italien,,4,2,Q20458,Q641
IsrahelVanMeckenem,https://www.wikidata.org/wiki/Q77554,Israhel van Meckenem le Jeune,Israhel van,Meckenem,1440,,1503-11-10,Q3917,"artiste,graveur(euse)",graveur et orfèvre allemand,,4,2,,Q3917
AntiochosIV,https://www.wikidata.org/wiki/Q3356,,Antiochos IV,Epiphane,-215,,-164,,personnage politique,souverain du royaume séleucide,,4,2,,
SilvioCosini,http://www.wikidata.org/entity/Q3960853,,Silvio,Cosini,1495,Fiesole,1549,Milan,"artiste,sculpteur",sculpteur et stucateur italien,,4,2,Q82670,Q490
Elisee,https://www.wikidata.org/wiki/Q206238,,,Elisée,-885,Q4666524,-790,Q1294629,personnage biblique,"Prophète de la Bible, disciple d'Élie",,4,2,Q4666524,Q1294629
JacquesLeBicheur,https://www.wikidata.org/wiki/Q87186180,,Jacques,Le Bicheur,1599,,1666-06-16,Paris,"artiste,peintre,architecte",peintre et architecte français du 17e siècle,,4,2,,Q90
Salmonée,https://www.wikidata.org/wiki/Q1131643,,,Salmonée,,,,,personnage mythologique,personnage de la mythologie grecque,,4,2,,
Deioces,https://www.wikidata.org/wiki/Q332578,,,"Deioces, Déjocès, Deiokes, Daiukku, Dahyuka, Diyako ou Diako",-705,,-675,,personnage politique,roi des Mèdes,,4,2,,
BernardDupuyDeGrez,,,,,,,,,,"artist, teachers, art theorist, lawyers, draftsman",,2,2,,
EtienneDuperac,http://www.wikidata.org/entity/Q289626,,Étienne,Dupérac,1525,Bordeaux,1604-03,Paris,"artiste,architecte,peintre,graveur(euse)","architecte, graveur et peintre français (vers 1535-1604)",,4,2,Q1479,Q90
StefanoDelBufalo,,,,,,,,,non identifié,,,2,2,,
LauraDeNoves,https://www.wikidata.org/wiki/Q270227,,Laura de,Noves,1310,Avignon,1348,Avignon,muse,"aristocrate comtadine du XIVe siècle, muse de Pétrarque",,4,2,Q6397,Q6397
AnneMarieDughet,https://www.wikidata.org/wiki/Q108679856,,Anne-Marie,Dughet,1612,Rome,1664-10-16,Rome,personnage historique,épouse de Nicolas Poussin,,4,2,Q220,Q220
CamilloDucci,,,Camillo,Ducci,,,,,,,,2,2,,
JacquesDubroeucq,http://www.wikidata.org/entity/Q3087528,,Jacques,Dubrœucq,1505,Mons,1584-09-30,Mons,"artiste,sculpteur,architecte",architecte et sculpteur,,4,2,Q83407,Q83407
JeanDubreuil,,,,,,,,,,auteur,,2,2,,
AmbroiseDubois,http://www.wikidata.org/entity/Q2415583,,Ambroise,Dubois,1542,Anvers,1614-01-29,Fontainebleau,"artiste,peintre",peintre français,,4,2,Q12892,Q182872
Avicenne,https://www.wikidata.org/wiki/Q8011,Avicenne,,Ibn Sina,980,Q4072887,1037-06-18,Q28587,"auteur(e) de textes,philosophe,mathématicien,médecin","mathématicien, médecin, écrivain, philosophe et scientifique persan",,4,2,Q4072887,Q28587
ConsiglioGherardi,http://www.wikidata.org/entity/Q1660326,,Consiglio,Gherardi,1508-11-25,Sansepolcro,1556-04-04,Sansepolcro,"artiste,peintre",peintre italien,,4,2,Q52098,Q52098
GiovanniBattistaBenedetti,https://www.wikidata.org/wiki/Q451647,,Giovanni Battista,Benedetti,1530-08-14,Venise,1590-01-20,Turin,mathématicien,mathématicien italien,,4,2,Q641,Q495
RidolfoDelGhirlandaio,http://www.wikidata.org/entity/Q64881,,Ridolfo del,Ghirlandaio,1483-02-04,Florence,1561-01-06,Florence,"artiste,peintre",peintre italien,,4,2,Q2044,Q2044
AdriaenHanneman,http://www.wikidata.org/entity/Q864279,,Adriaen,Hanneman,1603,LaHaye,1671-07-11,LaHaye,"artiste,peintre",peintre néerlandais,,4,2,Q36600,Q36600
GabrieleBusca,https://www.wikidata.org/wiki/Q18945327,,Gabriele,Busca,1540,Pavie,1605-07-27,Milan,"architecte,ingénieur",architecte et ingénieur militaire italien,,4,2,Q6259,Q490
Bryaxis,https://www.wikidata.org/wiki/Q122196,,,Bryaxis,-400,Carie,-360,,"artiste,sculpteur",sculpteur grec,,4,2,Q193214,
Hippomene,https://www.wikidata.org/wiki/Q1455747,,,Hippomène,,,,,personnage mythologique,"personnage de la mythologie grecque, concurrent d'Atalante",,4,2,,
Beseleel,https://www.wikidata.org/wiki/Q853439,,,Beseléel,,,,,personnage biblique,personnage du livre de l'Exode,,4,2,,
Rhodope,https://www.wikidata.org/wiki/Q15504920,,,Rhodope,,,,,personnage historique,hétaïre grecque,,4,2,,
PierioValeriano,https://www.wikidata.org/wiki/Q710070,"Pierio Valeriano, Il Valeriano, Il Pierio",Giovanni Pietro,Bolzani Dalle Fosse,1477-02-03,Q6558,1558,Padoue,auteur(e) de textes,humaniste et théologien italien,,4,2,Q6558,Q617
Herse,https://www.wikidata.org/wiki/Q16641710,,,Hersé,,,,,personnage mythologique,"personnage de la mythologie grecque, fille de Cécrops",,4,2,,
GiovanniGonnelli,,,,,,,,,,artist,,2,2,,
GiulioBonasone,http://www.wikidata.org/entity/Q1527962,,Giulio,Bonasone,1510,Bologne,1576,Bologne,"artiste,peintre,graveur(euse)",peintre et graveur italien (c. 1498-1576),,4,2,Q1891,Q1891
GianpaoloBonconti,http://www.wikidata.org/entity/Q99887491,,Gian Paolo,Bonconti,1563,,1605,,"artiste,peintre",peintre italien,,4,2,,
Calare,,,,Calare,,,,,,,,2,2,,
Cassandre,https://www.wikidata.org/wiki/Q11912953,,,Cassandre,,,,,militaire,militaire au service de Philippe V de Macédoine,,4,2,,
CarloCaliari,http://www.wikidata.org/entity/Q2939168,,Carlo,Caliari,1570,Venise,1596,Venise,"artiste,peintre",peintre italien,,4,2,Q641,Q641
Iolaos,https://www.wikidata.org/wiki/Q504076,Iolas,,Iolaos,,,,,personnage mythologique,personnage de la mythologie grecque,,4,2,,
GiovanFrancescoCaroto,http://www.wikidata.org/entity/Q966586,,Giovanni Francesco,Caroto,1480,Verone,1555-04-29,Verone,"artiste,peintre",peintre italien,,4,2,Q2028,Q2028
Hygie,https://www.wikidata.org/wiki/Q202257,,,Hygie,,,,,personnage mythologique,"déesse grecque de la santé, de la propreté et de l'hygiène",,4,2,,
GherardoBorgogni,https://www.wikidata.org/wiki/Q55875086,,Gherardo,Borgogni,1526,Q18341,,,auteur(e) de textes,poète italien,,4,2,Q18341,
GabrieleCaliari,http://www.wikidata.org/entity/Q5515997,,Gabriele,Caliari,1568-09-07,Venise,1630,Venise,"artiste,peintre",peintre italien,,4,2,Q641,Q641
Caracalla,https://www.wikidata.org/wiki/Q1446,,,Caracalla,0188-04-04,Q665,0217-04-08,Carre,personnage politique,empereur romain de 211 à 217,,4,2,Q665,Q3660711
JuliusCapitolinus,https://www.wikidata.org/wiki/Q391514,,Julius,Capitolinus,250,,350,,"auteur(e) de textes,personnage imaginaire",historien fictif de l'Histoire Auguste,,4,2,,
GirolamoCappello,https://www.wikidata.org/wiki/Q5564757,Girolamo Capelli,Girolamo,Capello,1538-04-13,,,,personnage politique,ambassadeur vénitien,,4,2,,
CaiusGracchus,https://www.wikidata.org/wiki/Q297183,,Caïus Sempronius,Gracchus,-154,,-122,Rome,personnage politique,tribun de la plèbe romain en 123 av. J.-C.,,4,2,,Q220
SimonGuillainII,,,,,,,,,,,,2,2,,
LelioGuidiccioni,https://www.wikidata.org/wiki/Q56006638,,Lelio,Guidiccioni,1582,Lucques,1643-07-07,Rome,auteur(e) de textes,écrivain et poète italien,,4,2,Q13373,Q220
AntonioBosio,https://www.wikidata.org/wiki/Q600982,Bosius,Antonio,Bosio,1576,Q752346,1629-09-06,Rome,auteur(e) de textes,archéologue et historien,,4,2,Q752346,Q220
FestusGrammaticus,https://www.wikidata.org/wiki/Q302723,,Festus,Grammaticus,350,Narbonne,350,,auteur(e) de textes,lexicographe latin du IIe siècle ap. J.-C,,4,2,Q6555,
AndreaCamassei,http://www.wikidata.org/entity/Q3615565,,Andrea,Camassei,1602,Q20144,1649-08-18,Rome,"artiste,peintre",peintre italien,,4,2,Q20144,Q220
GregoireX,https://www.wikidata.org/wiki/Q161740,Gregoire X,,Grégoire X,1210,Plaisance,1276-01-10,Arezzo,pape,"184e pape de l’Église catholique, de 1271 à 1276",,4,2,Q13329,Q13378
Boupalos,https://www.wikidata.org/wiki/Q852011,,,Boupalos,,Chios,,,"artiste,sculpteur",sculpteur antique,,4,2,Q160483,
GerardDeGroesbeek,https://www.wikidata.org/wiki/Q707093,,Gérard de,Groesbeek,1517,Q58780,1580-12-23,Liege,personnage du clergé,cardinal de l'Église catholique romaine,,4,2,Q58780,Q3992
GiovanniAntonioBoltraffio,http://www.wikidata.org/entity/Q442528,,Giovanni Antonio,Boltraffio,1467,Milan,1516,Milan,"artiste,peintre",peintre italien,,4,2,Q490,Q490
Boutades,https://www.wikidata.org/wiki/Q1017839,Dibutades,,Boutades,-700,Sicyone,-600,Q11772,personnage mythologique,potier antique,,4,2,Q368628,Q11772
JuliusFirmicusMaternus,https://www.wikidata.org/wiki/Q367422,,Julius Firmicus,Maternus,314,Q4420718,360,,auteur(e) de textes,,,4,2,Q4420718,
GiorgioGhisi,http://www.wikidata.org/entity/Q1010603,,Giorgio,Ghisi,1520,Mantoue,1582-12-15,Mantoue,"artiste,graveur(euse)",dessinateur et graveur italien (1520-1582),,4,2,Q6247,Q6247
LuciusTarutiusFirmanus,https://www.wikidata.org/wiki/Q138724,,Lucius Tarutius,Firmanus,-100,Q13139,-100,,"mathématicien,philosophe","astronome, astrologue et mathématicien romain du Ier siècle av. J.-C.",,4,2,Q13139,
GianelloTorriani,http://www.wikidata.org/entity/Q1388187,,Gianello,Torriani,1500,Cremone,1585-06-13,Tolede,ingénieur,"horloger, ingénieur et constructeur d’automates hispano-milanais du 16e siècle",,4,2,Q6231,Q5836
MarcusAemiliusLepidusPreteur,https://www.wikidata.org/wiki/Q4281819,Lépide,Marcus Aemilius,Lepidus,-250,Q1747689,,,personnage politique,préteur romain en 218 et en 213 av. J.-C.,,4,2,Q1747689,
AlonsoChacon,http://www.wikidata.org/entity/Q661419,,Alonso,Chacón,1530-12-15,Q488555,1599-02-14,Rome,"auteur(e) de textes,personnage du clergé","religieux espagnol de l'ordre des Prêcheurs, écrivain et historien du XVIe siècle",,4,2,Q488555,Q220
HonoreI,https://www.wikidata.org/wiki/Q170502,Honoré I,,Honoré I,585,Campanie,0638-10-12,Rome,pape,pape de l'Église catholique romaine,,4,2,Q1438,Q220
MarcusAemiliusLepidusConsul,https://www.wikidata.org/wiki/Q319561,Lépide,Marcus Aemilius,Lepidus,-230,Q1747689,-152,,personnage politique,consul romain en 187 et en 175 av. J.-C.,,4,2,Q1747689,
GiovanniBattistaDeCavalieri,http://www.wikidata.org/entity/Q5563765,,Giovanni Battista de',Cavalieri,1525,Q328037,1601-07-23,Rome,"artiste,graveur(euse),éditeur","graveur, dessinateur et éditeur italien",,4,2,Q328037,Q220
AgostinoDiGiovanni,http://www.wikidata.org/entity/Q395759,,Agostino di,Giovanni,,Sienne,,,"artiste,sculpteur,architecte",architecte et un sculpteur italien gothique,,4,2,Q2751,
EmmanuelPhilibertDeSavoie,https://www.wikidata.org/wiki/Q76508,,Emmanuel-Philibert de,Savoie,1528-07-08,Q165090,1580-08-30,Turin,personnage politique,duc de Savoie,,4,2,Q165090,Q495
SchelteBolswert,http://www.wikidata.org/entity/Q2288622,Schelte Adams Bolswert,Schelte,Bolswert,1586,Q329582,1659-12-12,Anvers,"artiste,graveur(euse)",graveur néerlandais (1586-1659),,4,2,Q329582,Q12892
Hyacinthe,https://www.wikidata.org/wiki/Q207273,,,Hyacinthe,,,,,personnage mythologique,"personnage de la mythologie grecque, aimé d'Apollon qui le tua accidentellement",,4,2,,
CesarDeBus,https://www.wikidata.org/wiki/Q1150806,,César de,Bus,1544-02-03,Q208798,1607-04-15,Avignon,"saint(e),personnage du clergé",prêtre et saint catholique français,,4,2,Q208798,Q6397
Anubis,https://www.wikidata.org/wiki/Q47534,,,Anubis,,,,,personnage mythologique,dieu funéraire de l'Égypte antique,,4,2,,
AdrienIII,https://www.wikidata.org/wiki/Q172398,Adrien III,,Hadrianus,,Rome,885,Q100092,pape,"109e pape de l'Église catholique, de 884 à 885",,4,2,Q220,Q100092
Atargatis,https://www.wikidata.org/wiki/Q221735,Décerto,,Atargatis,,,,,personnage mythologique,ancienne divinité du nord de la Syrie,,4,1,,
JeanIDeBragance,https://www.wikidata.org/wiki/Q2701474,,Jean Ier,Bragance,1543,Q1013623,1583-02-22,Q1013623,personnage politique,"6e duc de Bragance et 1er duc de Barcelos, époux de l'infante Catherine de Portugal",,4,1,Q1013623,Q1013623
ReneBoyvin,,,,,,,,,,"artist, designers, engraver, etcher, printmaker",,2,1,,
GiulioCesareProcaccini,http://www.wikidata.org/entity/Q1119589,,Giulio Cesare,Procaccini,1574-05-30,Bologne,1625-11-14,Milan,"artiste,peintre,graveur(euse)",peintre et graveur italien,,4,1,Q1891,Q490
GiovanniBattistaBranconioDellAquila,https://www.wikidata.org/wiki/Q3107048,,Giovanni Battista,Branconio dell'Aquila,1473,Q3476,1522,Rome,personnage politique,"gentilhomme italien, protonotaire apostolique et chambellan du Pape Léon X",,4,1,Q3476,Q220
JanBrandt,https://www.wikidata.org/wiki/Q21543237,,Jan,Brandt,1559-09-30,Anvers,1639-08-28,Anvers,personnage politique,juriste flamand,,4,1,Q12892,Q12892
FrancescoMariaSforza,https://www.wikidata.org/wiki/Q378868,Francesco II Maria Sforza,Francesco Maria,Sforza,1495-02-04,Milan,1535-10-24,Q40832,personnage politique,"duc de Milan, 1521-24, 1525-35",,4,1,Q490,Q40832
LuciaAnguissola,http://www.wikidata.org/entity/Q465443,,Lucia,Anguissola,1536,Cremone,1565,Cremone,"artiste,peintre",peintre italienne,,4,1,Q6231,Q6231
CharlesCalabre,https://www.wikidata.org/wiki/Q201737,Duc de Calabre,Charles d',Anjou,1298-05-28,Naples,1328-11-09,Naples,personnage politique,duc de Calabre,,4,1,Q2634,Q2634
SalomonDeBrosse,http://www.wikidata.org/entity/Q725816,,Salomon de,Brosse,1571,Q1389275,1626-12-08,Paris,"artiste,architecte",architecte français,,4,1,Q1389275,Q90
Astarte,https://www.wikidata.org/wiki/Q130274,,,Astarté,,,,,personnage mythologique,"déesse connue dans tout le Proche-Orient, de l'âge du bronze à l'Antiquité",,4,1,,
SantaDaria,https://www.wikidata.org/wiki/Q1088478,,,Daria,,,283,,saint(e),sainte et martyre chrétienne,,4,1,,
GastonDeSecondatDeMontesquieu,,,Gaston de,Secondat de Montesquieu,,,,,,,,2,1,,
Atlas,https://www.wikidata.org/wiki/Q130818,,,Atlas,,,,,personnage mythologique,personnage de la mythologie grecque,,4,1,,
IsottadegliAtti,https://www.wikidata.org/wiki/Q1168634,,Isotta degli,Atti,1432,Rimini,1474-07-09,,personnage politique,"noble italienne, troisième épouse de Sigismond Malatesta",,4,1,Q13369,
ClaudeBoutet,https://www.wikidata.org/wiki/Q2977077,,Claude,Boutet,1700,,,,"artiste,peintre",peintre français des XVIIe et XVIIIe siècles,,4,1,,
BaccioBaldini,http://www.wikidata.org/entity/Q324091,,Baccio,Baldini,1436,Florence,1487,Florence,"artiste,graveur(euse)",graveur italien (1436-1487),,4,1,Q2044,Q2044
DominiqueBachelier,http://www.wikidata.org/entity/Q3034958,,Dominique,Bachelier,1530,,1594,,"artiste,architecte",architecte français,,4,1,,
LorenzSandrart,https://www.wikidata.org/wiki/Q58435668,,Lorenz,Sandrart,1567,Q163795,1629-01-19,Francfort,personnage historique,père de Joachim von Sandrart,,4,1,Q163795,Q1794
BacciDiBelforte,,,,,,,,,,"artist, painter",,2,1,,
Azarias,https://www.wikidata.org/wiki/Q2025510,,,Azarias,,Q155321,,Q155321,personnage biblique,grand prêtre du temple juif de Jérusalem au IXe siècle avant J.-C.,,4,1,Q155321,Q155321
FrancescoDaSangallo,http://www.wikidata.org/entity/Q2252502,,Francesco da,Sangallo,1494-03-01,Florence,1576-02-17,Florence,"artiste,sculpteur",sculpteur italien,,4,1,Q2044,Q2044
DionDePruse,https://www.wikidata.org/wiki/Q334457,Dion Chrysostome,Dion de,Pruse,40,Q40738,120,,philosophe,philosophe et orateur grec,,4,1,Q40738,
CharlesDAutriche,https://www.wikidata.org/wiki/Q159817,,Charles d',Autriche,1545-07-08,Q8356,1568-07-24,Madrid,personnage politique,"fils de Philippe II d'Espagne, prince des Asturies",,4,1,Q8356,Q2807
GiovanniAntonioSangiorgio,https://www.wikidata.org/wiki/Q2255180,,Giovanni Antonio,Sangiorgio,1439,Milan,1509-03-14,Rome,personnage du clergé,prélat catholique,,4,1,Q490,Q220
ClaudineBouzonnetStella,http://www.wikidata.org/entity/Q5129302,,Claudine,Bouzonnet-Stella,1636-07-07,Lyon,1697-10-01,Paris,"artiste,graveur(euse)",graveuse française,,4,1,Q456,Q90
Protee,https://www.wikidata.org/wiki/Q191481,,,Protée,,,,,personnage mythologique,divinité marine de la mythologie grecque dotée du don de prophétie et du pouvoir de se métamorphoser,,4,1,,
ReneAnjou,https://www.wikidata.org/wiki/Q170353,Le Bon Roi René,René d',Anjou,1409-01-16,Angers,1480-07-10,Q47465,personnage politique,"roi de Naples, duc d'Anjou et de Lorraine, comte de Provence, écrivain et mécène",,4,1,Q38380,Q47465
Sango,,,,Sango,,,,,,,,2,1,,
Aurelien,https://www.wikidata.org/wiki/Q46780,,,Aurelien,0214-09-09,Q833060,275-10,Q214655,personnage politique,empereur romain de 270 à 275,,4,1,Q833060,Q214655
Astaroth,https://www.wikidata.org/wiki/Q830172,,,Astaroth,,,,,personnage biblique,démon,,4,1,,
AsiaNymphe,https://www.wikidata.org/wiki/Q605744,,,Asia,,,,,personnage mythologique,Océanide de la mythologie grecque,,4,1,,
TizianoAspetti,http://www.wikidata.org/entity/Q323978,,Tiziano,Aspetti,1559,Padoue,1606,Pise,"artiste,sculpteur",sculpteur italien,,4,1,Q617,Q13375
MichelangeloAnselmi,http://www.wikidata.org/entity/Q577590,,Michelangelo,Anselmi,1492,Lucques,1556,Parme,"artiste,peintre",peintre italien,,4,1,Q13373,Q2683
AndreaPrevitali,http://www.wikidata.org/entity/Q1097187,,Andrea,Previtali,1475,Q99966,1528-11-07,Bergame,"artiste,peintre",peintre italien (1480–1528),,4,1,Q99966,Q628
LouisSavot,http://www.wikidata.org/entity/Q25918160,,Louis,Savot,1570,Q373927,1640,Paris,auteur(e) de textes,humaniste bourguignon,,4,1,Q373927,Q90
MarchionneAretino,https://www.wikidata.org/wiki/Q60841695,Marchionne d'Arezzo,Marchionne,Aretino,1250,Arezzo,,,"artiste,architecte,sculpteur",sculpteur et architecte italien,,4,1,Q13378,
MichelangeloSerafini,https://www.wikidata.org/wiki/Q3856455,,Michelangelo,Serafini,,Florence,1555-06,,auteur(e) de textes,poète et traducteur italien,,4,1,Q2044,
Apama,https://www.wikidata.org/wiki/Q237626,épouse de Séleucos Ier,,Apama,-400,,,,personnage politique,souveraine du royaume séleucide,,4,1,,
NiccoloArdinghelli,https://www.wikidata.org/wiki/Q708526,,Niccolò,Ardinghelli,1503-03-17,Florence,1547-08-22,Rome,personnage du clergé,cardinal de l'Église catholique romaine,,4,1,Q2044,Q220
CorneilleSchut,http://www.wikidata.org/entity/Q592396,,Corneille,Schut,1597-05-13,Anvers,1655-04-29,Anvers,"artiste,peintre",peintre flamand,,4,1,Q12892,Q12892
ChristophSchwarz,http://www.wikidata.org/entity/Q322029,,Christoph,Schwarz,1545,Munich,1592-04-15,Munich,"artiste,peintre",peintre allemand,,4,1,Q1726,Q1726
OttavioSemino,http://www.wikidata.org/entity/Q3357741,,Ottavio,Semino,1527,Genes,1604,Milan,"artiste,peintre",peintre italien,,4,1,Q1449,Q490
ScipionAsiatique,https://www.wikidata.org/wiki/Q361377,Scipion l'Asiatique,Lucius Cornelius,Scipio Asiaticus,-230,Q1747689,-183,,personnage politique,consul romain en 190 av. J.-C.,,4,1,Q1747689,
GirolamoDaCarpi,http://www.wikidata.org/entity/Q2701846,,Girolamo da,Carpi,1501,Ferrare,1556-08-01,Ferrare,"artiste,peintre",peintre italien,,4,1,Q13362,Q13362
GaleazzoArconati,https://www.wikidata.org/wiki/Q47009360,,Galeazzo,Arconati,1580,Milan,1649-11-09,Milan,"personnage politique,mécène",noble italien et mécène des arts,,4,1,Q490,Q490
PetrusApianus,https://www.wikidata.org/wiki/Q58662,L'Ingolstadius,Petrus,Apianus,1495-04-16,Q71133,1552-04-21,Ingolstadt,mathématicien,astronome et mathématicien allemand,,4,1,Q71133,Q3004
GirolamoPreti,,,,,,,,,,italian poet,,2,1,,
GiulianoBugiardini,http://www.wikidata.org/entity/Q2578459,,Giuliano,Bugiardini,1475-01-29,Florence,1554-02-17,Florence,"artiste,peintre",peintre italien,,4,1,Q2044,Q2044
Apollonius,,,,Apollonius,,,,,,,,2,1,,
DanielSeghers,http://www.wikidata.org/entity/Q928466,,Daniel,Seghers,1590-12-03,Anvers,1661-11-02,Anvers,"artiste,peintre",peintre flamand (1590-1661),,4,1,Q12892,Q12892
Savonarole,https://www.wikidata.org/wiki/Q164823,,Jerôme,Savonarole,1452-09-21,Ferrare,1498-05-23,Q849846,"personnage du clergé,personnage politique","frère dominicain, dirigeant de la République de Florence",,4,1,Q13362,Q849846
DomenicoBrusasorzi,http://www.wikidata.org/entity/Q2297219,Domenico Brusasorci,Domenico,Riccio,1516,Verone,1567,Verone,"artiste,peintre",peintre italien,,4,1,Q2028,Q2028
